Network	Station	Phase	Time	Time_trunc
AZ	TRO	S	2016-06-10T19:41:47.408300	2016-06-10T19:41:47
AZ	TRO	S	2016-06-10T19:41:28.908300	2016-06-10T19:41:28
AZ	TRO	S	2016-06-10T19:41:47.408300	2016-06-10T19:41:47
AZ	TRO	S	2016-06-10T19:44:28.308300	2016-06-10T19:44:28
AZ	TRO	S	2016-06-10T19:44:40.308300	2016-06-10T19:44:40
AZ	TRO	S	2016-06-10T19:45:47.808300	2016-06-10T19:45:47
AZ	TRO	S	2016-06-10T19:55:08.408300	2016-06-10T19:55:08
AZ	TRO	S	2016-06-10T19:58:44.908300	2016-06-10T19:58:44
AZ	TRO	S	2016-06-10T20:01:51.508300	2016-06-10T20:01:51
AZ	TRO	S	2016-06-10T20:09:38.408300	2016-06-10T20:09:38
AZ	TRO	S	2016-06-10T20:11:04.408300	2016-06-10T20:11:04
AZ	TRO	S	2016-06-10T20:13:31.808300	2016-06-10T20:13:31
AZ	TRO	S	2016-06-10T20:13:56.808300	2016-06-10T20:13:56
AZ	TRO	S	2016-06-10T20:15:25.708300	2016-06-10T20:15:25
AZ	TRO	S	2016-06-10T20:23:08.208300	2016-06-10T20:23:08
AZ	TRO	S	2016-06-10T20:36:47.308300	2016-06-10T20:36:47
AZ	TRO	S	2016-06-10T20:56:24.808300	2016-06-10T20:56:24
AZ	TRO	S	2016-06-10T20:57:48.608300	2016-06-10T20:57:48
AZ	TRO	P	2016-06-10T21:09:45.008300	2016-06-10T21:09:45
AZ	TRO	S	2016-06-10T20:57:48.608300	2016-06-10T20:57:48
AZ	TRO	S	2016-06-10T21:05:27.608300	2016-06-10T21:05:27
AZ	TRO	S	2016-06-10T21:08:19.908300	2016-06-10T21:08:19
AZ	TRO	S	2016-06-10T21:13:54.608300	2016-06-10T21:13:54
AZ	TRO	S	2016-06-10T21:13:54.608300	2016-06-10T21:13:54
AZ	TRO	S	2016-06-10T21:36:15.608300	2016-06-10T21:36:15
AZ	TRO	S	2016-06-10T21:41:35.908300	2016-06-10T21:41:35
AZ	TRO	S	2016-06-10T21:46:30.508300	2016-06-10T21:46:30
AZ	TRO	S	2016-06-10T21:47:54.208300	2016-06-10T21:47:54
AZ	TRO	S	2016-06-10T21:52:35.708300	2016-06-10T21:52:35
AZ	TRO	S	2016-06-10T21:53:58.908300	2016-06-10T21:53:58
AZ	TRO	S	2016-06-10T21:54:26.308300	2016-06-10T21:54:26
AZ	TRO	S	2016-06-10T21:54:58.408300	2016-06-10T21:54:58
AZ	TRO	S	2016-06-10T21:55:37.308300	2016-06-10T21:55:37
AZ	TRO	P	2016-06-10T22:07:46.108300	2016-06-10T22:07:46
AZ	TRO	S	2016-06-10T22:03:49.408300	2016-06-10T22:03:49
AZ	TRO	S	2016-06-10T22:08:03.708300	2016-06-10T22:08:03
AZ	TRO	S	2016-06-10T22:09:01.508300	2016-06-10T22:09:01
AZ	TRO	S	2016-06-10T22:10:01.608300	2016-06-10T22:10:01
AZ	TRO	S	2016-06-10T22:12:18.408300	2016-06-10T22:12:18
AZ	TRO	P	2016-06-10T22:25:16.408300	2016-06-10T22:25:16
AZ	TRO	S	2016-06-10T22:26:39.708300	2016-06-10T22:26:39
AZ	TRO	S	2016-06-10T22:32:19.108300	2016-06-10T22:32:19
AZ	TRO	S	2016-06-10T22:47:50.208300	2016-06-10T22:47:50
AZ	TRO	S	2016-06-10T22:57:22.708300	2016-06-10T22:57:22
AZ	TRO	S	2016-06-10T23:05:31.808300	2016-06-10T23:05:31
AZ	TRO	S	2016-06-10T23:08:21.308300	2016-06-10T23:08:21
AZ	TRO	S	2016-06-10T23:11:52.208300	2016-06-10T23:11:52
AZ	TRO	S	2016-06-10T23:18:19.908300	2016-06-10T23:18:19
AZ	TRO	S	2016-06-10T23:24:07.208300	2016-06-10T23:24:07
