# Network Station Phase Time Probability
AZ TRO S 2016-06-10T18:12:25.708300 0.989
AZ TRO S 2016-06-10T18:12:33.608300 0.969
AZ TRO S 2016-06-10T18:13:01.008300 0.987
AZ TRO S 2016-06-10T18:18:27.008300 0.969
AZ TRO S 2016-06-10T18:20:10.008300 0.992
AZ TRO S 2016-06-10T18:21:12.608300 0.993
AZ TRO S 2016-06-10T18:23:54.608300 0.991
AZ TRO S 2016-06-10T18:24:43.308300 0.989
AZ TRO S 2016-06-10T18:24:43.308300 0.989
AZ TRO S 2016-06-10T18:29:36.708300 0.976
AZ TRO S 2016-06-10T18:30:09.008300 0.966
AZ TRO S 2016-06-10T18:32:10.208300 0.985
AZ TRO S 2016-06-10T18:32:56.008300 0.986
AZ TRO S 2016-06-10T18:34:39.508300 0.965
AZ TRO S 2016-06-10T18:34:49.708300 0.986
AZ TRO S 2016-06-10T18:38:25.108300 0.995
AZ TRO S 2016-06-10T18:38:53.208300 0.993
AZ TRO P 2016-06-10T18:53:23.108300 0.954
AZ TRO S 2016-06-10T18:44:24.008300 0.973
AZ TRO S 2016-06-10T18:44:55.908300 0.996
AZ TRO S 2016-06-10T18:49:39.508300 0.990
AZ TRO S 2016-06-10T18:51:15.308300 0.982
AZ TRO S 2016-06-10T18:53:25.308300 0.994
AZ TRO S 2016-06-10T18:54:38.908300 0.975
AZ TRO S 2016-06-10T18:57:04.808300 0.993
AZ TRO S 2016-06-10T19:02:44.808300 0.988
AZ TRO S 2016-06-10T19:04:35.308300 0.994
AZ TRO S 2016-06-10T19:05:19.908300 0.976
AZ TRO S 2016-06-10T19:09:23.808300 0.978
AZ TRO S 2016-06-10T19:14:42.408300 0.995
AZ TRO S 2016-06-10T19:20:10.208300 0.964
AZ TRO S 2016-06-10T19:20:58.508300 0.993
AZ TRO S 2016-06-10T19:21:59.508300 0.997
AZ TRO S 2016-06-10T19:25:41.208300 0.994
AZ TRO S 2016-06-10T19:25:41.208300 0.994
AZ TRO S 2016-06-10T19:28:40.608300 0.973
AZ TRO S 2016-06-10T19:30:09.108300 0.970
AZ TRO S 2016-06-10T19:34:09.808300 0.981
AZ TRO S 2016-06-10T19:36:42.508300 0.971
AZ TRO S 2016-06-10T19:36:48.508300 0.996
AZ TRO S 2016-06-10T19:39:16.708300 0.981
AZ TRO S 2016-06-10T19:40:13.908300 0.986
AZ TRO S 2016-06-10T19:43:13.308300 0.993
AZ TRO S 2016-06-10T19:44:14.008300 0.982
AZ TRO S 2016-06-10T19:45:48.008300 0.976
AZ TRO S 2016-06-10T19:46:06.108300 0.993
AZ TRO S 2016-06-10T19:49:52.808300 0.965
AZ TRO S 2016-06-10T19:55:40.708300 0.951
AZ TRO S 2016-06-10T19:57:27.208300 0.961
AZ TRO S 2016-06-10T19:57:56.508300 0.973
AZ TRO S 2016-06-10T19:58:44.908300 0.967
AZ TRO S 2016-06-10T19:58:58.008300 0.997
AZ TRO S 2016-06-10T20:07:02.808300 0.971
AZ TRO S 2016-06-10T20:34:28.108300 0.969
